# tau_n,Omegabh2,p_npdg,p_dpHe3g,Yp,DoH,He3oH,Li7oH
8.796567e+02,2.246813e-02,-1.297362e-01,1.925013e+00,2.471332e-01,2.459744e+00,1.058907e+00,5.579636e+00
8.792865e+02,2.220031e-02,7.011316e-02,1.982260e+00,2.469400e-01,2.506771e+00,1.066356e+00,5.444307e+00
8.795972e+02,2.235409e-02,5.711741e-01,4.651317e-02,2.470652e-01,2.517664e+00,1.045843e+00,5.373254e+00
8.796172e+02,2.209140e-02,-9.716188e-01,6.397771e-02,2.469486e-01,2.567423e+00,1.051530e+00,5.197223e+00
8.801924e+02,2.251581e-02,7.396925e-01,-3.734430e-01,2.472611e-01,2.496564e+00,1.038209e+00,5.430651e+00
8.791943e+02,2.227840e-02,8.193431e-01,1.106006e+00,2.469536e-01,2.510884e+00,1.057018e+00,5.433512e+00
8.785139e+02,2.234351e-02,2.603626e+00,-3.289199e-01,2.468418e-01,2.520363e+00,1.043597e+00,5.398901e+00
8.800403e+02,2.264887e-02,-3.761042e-01,-4.213373e-01,2.472794e-01,2.476221e+00,1.033733e+00,5.463433e+00
8.792011e+02,2.252747e-02,-4.580818e-01,9.785929e-01,2.470531e-01,2.472355e+00,1.049082e+00,5.509996e+00
8.800688e+02,2.225402e-02,7.689659e-01,-5.382991e-01,2.471275e-01,2.546743e+00,1.043123e+00,5.285696e+00
8.796300e+02,2.221102e-02,8.191042e-01,-3.775503e-02,2.470121e-01,2.544228e+00,1.048510e+00,5.307010e+00
8.793213e+02,2.225117e-02,-5.350872e-01,-1.581311e+00,2.469572e-01,2.572409e+00,1.033837e+00,5.153789e+00
8.796093e+02,2.237648e-02,-4.031627e-01,7.041903e-01,2.470846e-01,2.504577e+00,1.050364e+00,5.411181e+00
8.805706e+02,2.228422e-02,5.411308e-01,1.940867e+00,2.472421e-01,2.492716e+00,1.064127e+00,5.510052e+00
8.806462e+02,2.224071e-02,-8.275842e-01,7.212254e-01,2.472310e-01,2.528092e+00,1.053620e+00,5.334155e+00
8.794416e+02,2.252008e-02,-4.105340e-01,1.461799e+00,2.471014e-01,2.460062e+00,1.053137e+00,5.562366e+00
8.794961e+02,2.228287e-02,8.959277e-02,-8.461021e-01,2.470143e-01,2.546981e+00,1.039447e+00,5.251021e+00
